date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2025/01/06,MUFG,CAD,JPY,110.88,107.68,109.28
2025/01/07,MUFG,CAD,JPY,111.94,108.74,110.34
2025/01/08,MUFG,CAD,JPY,111.67,108.47,110.07
2025/01/09,MUFG,CAD,JPY,111.77,108.57,110.17
2025/01/10,MUFG,CAD,JPY,111.45,108.25,109.85
2025/01/14,MUFG,CAD,JPY,111.21,108.01,109.61
2025/01/15,MUFG,CAD,JPY,111.71,108.51,110.11
2025/01/16,MUFG,CAD,JPY,110.78,107.58,109.18
2025/01/17,MUFG,CAD,JPY,109.41,106.21,107.81
2025/01/20,MUFG,CAD,JPY,109.51,106.31,107.91
2025/01/21,MUFG,CAD,JPY,109.44,106.24,107.84
2025/01/22,MUFG,CAD,JPY,110.21,107.01,108.61
2025/01/23,MUFG,CAD,JPY,110.33,107.13,108.73
2025/01/24,MUFG,CAD,JPY,110.34,107.14,108.74
2025/01/27,MUFG,CAD,JPY,109.83,106.63,108.23
2025/01/28,MUFG,CAD,JPY,109.4,106.2,107.8
2025/01/29,MUFG,CAD,JPY,109.69,106.49,108.09
2025/01/30,MUFG,CAD,JPY,109.01,105.81,107.41
2025/01/31,MUFG,CAD,JPY,108.09,104.89,106.49
2025/02/03,MUFG,CAD,JPY,107.29,104.09,105.69
2025/02/04,MUFG,CAD,JPY,109.18,105.98,107.58
2025/02/05,MUFG,CAD,JPY,109.15,105.95,107.55
2025/02/06,MUFG,CAD,JPY,108.16,104.96,106.56
2025/02/07,MUFG,CAD,JPY,107.29,104.09,105.69
2025/02/10,MUFG,CAD,JPY,107.64,104.44,106.04
2025/02/12,MUFG,CAD,JPY,108.83,105.63,107.23
2025/02/13,MUFG,CAD,JPY,109.68,106.48,108.08
2025/02/14,MUFG,CAD,JPY,109.21,106.01,107.61
2025/02/17,MUFG,CAD,JPY,108.8,105.6,107.2
2025/02/18,MUFG,CAD,JPY,108.46,105.26,106.86
2025/02/19,MUFG,CAD,JPY,108.76,105.56,107.16
2025/02/20,MUFG,CAD,JPY,107.82,104.62,106.22
2025/02/21,MUFG,CAD,JPY,107.27,104.07,105.67
2025/02/25,MUFG,CAD,JPY,106.86,103.66,105.26
2025/02/26,MUFG,CAD,JPY,105.74,102.54,104.14
2025/02/27,MUFG,CAD,JPY,105.61,102.41,104.01
2025/02/28,MUFG,CAD,JPY,105.2,102.,103.6
2025/03/03,MUFG,CAD,JPY,105.85,102.65,104.25
2025/03/04,MUFG,CAD,JPY,104.59,101.39,102.99
2025/03/05,MUFG,CAD,JPY,105.6,102.4,104.
2025/03/06,MUFG,CAD,JPY,105.61,102.41,104.01
2025/03/07,MUFG,CAD,JPY,105.15,101.95,103.55
2025/03/10,MUFG,CAD,JPY,104.2,101.,102.6
2025/03/11,MUFG,CAD,JPY,103.22,100.02,101.62
