date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2024-12-10,MUFG,EUR,JPY,161.41,158.41,159.91
2024-12-11,MUFG,EUR,JPY,161.44,158.44,159.94
2024-12-12,MUFG,EUR,JPY,161.58,158.58,160.08
2024-12-13,MUFG,EUR,JPY,161.85,158.85,160.35
2024-12-16,MUFG,EUR,JPY,163.41,160.41,161.91
2024-12-17,MUFG,EUR,JPY,163.96,160.96,162.46
2024-12-18,MUFG,EUR,JPY,162.88,159.88,161.38
2024-12-19,MUFG,EUR,JPY,162.31,159.31,160.81
2024-12-20,MUFG,EUR,JPY,165.2,162.2,163.7
2024-12-23,MUFG,EUR,JPY,164.94,161.94,163.44
2024-12-24,MUFG,EUR,JPY,165.22,162.22,163.72
2024-12-25,MUFG,EUR,JPY,165.32,162.32,163.82
2024-12-26,MUFG,EUR,JPY,165.15,162.15,163.65
2024-12-27,MUFG,EUR,JPY,166.34,163.34,164.84
2024-12-30,MUFG,EUR,JPY,166.42,163.42,164.92
