date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2025/01/06,MUFG,SGD,JPY,115.91,114.25,115.08
2025/01/07,MUFG,SGD,JPY,116.84,115.18,116.01
2025/01/08,MUFG,SGD,JPY,116.65,114.99,115.82
2025/01/09,MUFG,SGD,JPY,116.54,114.88,115.71
2025/01/10,MUFG,SGD,JPY,116.39,114.73,115.56
2025/01/14,MUFG,SGD,JPY,115.88,114.22,115.05
2025/01/15,MUFG,SGD,JPY,116.45,114.79,115.62
2025/01/16,MUFG,SGD,JPY,115.26,113.6,114.43
2025/01/17,MUFG,SGD,JPY,114.48,112.82,113.65
2025/01/20,MUFG,SGD,JPY,114.98,113.32,114.15
2025/01/21,MUFG,SGD,JPY,115.63,113.97,114.8
2025/01/22,MUFG,SGD,JPY,115.86,114.2,115.03
2025/01/23,MUFG,SGD,JPY,116.31,114.65,115.48
2025/01/24,MUFG,SGD,JPY,116.14,114.48,115.31
2025/01/27,MUFG,SGD,JPY,116.34,114.68,115.51
2025/01/28,MUFG,SGD,JPY,115.77,114.11,114.94
2025/01/29,MUFG,SGD,JPY,115.97,114.31,115.14
2025/01/30,MUFG,SGD,JPY,115.49,113.83,114.66
2025/01/31,MUFG,SGD,JPY,114.87,113.21,114.04
2025/02/03,MUFG,SGD,JPY,114.51,112.85,113.68
2025/02/04,MUFG,SGD,JPY,115.03,113.37,114.2
2025/02/05,MUFG,SGD,JPY,114.81,113.15,113.98
2025/02/06,MUFG,SGD,JPY,113.96,112.3,113.13
2025/02/07,MUFG,SGD,JPY,112.86,111.2,112.03
2025/02/10,MUFG,SGD,JPY,112.9,111.24,112.07
2025/02/12,MUFG,SGD,JPY,114.05,112.39,113.22
2025/02/13,MUFG,SGD,JPY,115.03,113.37,114.2
2025/02/14,MUFG,SGD,JPY,114.54,112.88,113.71
2025/02/17,MUFG,SGD,JPY,114.25,112.59,113.42
2025/02/18,MUFG,SGD,JPY,113.85,112.19,113.02
2025/02/19,MUFG,SGD,JPY,114.14,112.48,113.31
2025/02/20,MUFG,SGD,JPY,113.47,111.81,112.64
2025/02/21,MUFG,SGD,JPY,113.15,111.49,112.32
2025/02/25,MUFG,SGD,JPY,112.98,111.32,112.15
2025/02/26,MUFG,SGD,JPY,112.32,110.66,111.49
2025/02/27,MUFG,SGD,JPY,112.31,110.65,111.48
2025/02/28,MUFG,SGD,JPY,111.87,110.21,111.04
2025/03/03,MUFG,SGD,JPY,112.41,110.75,111.58
2025/03/04,MUFG,SGD,JPY,111.71,110.05,110.88
2025/03/05,MUFG,SGD,JPY,112.79,111.13,111.96
2025/03/06,MUFG,SGD,JPY,112.96,111.3,112.13
2025/03/07,MUFG,SGD,JPY,111.94,110.28,111.11
2025/03/10,MUFG,SGD,JPY,111.76,110.1,110.93
2025/03/11,MUFG,SGD,JPY,110.94,109.28,110.11
