date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2025/01/06,MUFG,CNY,JPY,21.73,21.13,21.43
2025/01/07,MUFG,CNY,JPY,21.85,21.25,21.55
2025/01/08,MUFG,CNY,JPY,21.83,21.23,21.53
2025/01/09,MUFG,CNY,JPY,21.84,21.24,21.54
2025/01/10,MUFG,CNY,JPY,21.82,21.22,21.52
2025/01/14,MUFG,CNY,JPY,21.75,21.15,21.45
2025/01/15,MUFG,CNY,JPY,21.82,21.22,21.52
2025/01/16,MUFG,CNY,JPY,21.59,20.99,21.29
2025/01/17,MUFG,CNY,JPY,21.44,20.84,21.14
2025/01/20,MUFG,CNY,JPY,21.58,20.98,21.28
2025/01/21,MUFG,CNY,JPY,21.72,21.12,21.42
2025/01/22,MUFG,CNY,JPY,21.69,21.09,21.39
2025/01/23,MUFG,CNY,JPY,21.79,21.19,21.49
2025/01/24,MUFG,CNY,JPY,21.75,21.15,21.45
2025/01/27,MUFG,CNY,JPY,21.75,21.15,21.45
2025/01/28,MUFG,CNY,JPY,21.62,21.02,21.32
2025/01/29,MUFG,CNY,JPY,21.69,21.09,21.39
2025/01/30,MUFG,CNY,JPY,21.59,20.99,21.29
2025/01/31,MUFG,CNY,JPY,21.46,20.86,21.16
2025/02/03,MUFG,CNY,JPY,21.47,20.87,21.17
2025/02/04,MUFG,CNY,JPY,21.54,20.94,21.24
2025/02/05,MUFG,CNY,JPY,21.45,20.85,21.15
2025/02/06,MUFG,CNY,JPY,21.26,20.66,20.96
2025/02/07,MUFG,CNY,JPY,21.06,20.46,20.76
2025/02/10,MUFG,CNY,JPY,21.1,20.5,20.8
2025/02/12,MUFG,CNY,JPY,21.26,20.66,20.96
2025/02/13,MUFG,CNY,JPY,21.43,20.83,21.13
2025/02/14,MUFG,CNY,JPY,21.29,20.69,20.99
2025/02/17,MUFG,CNY,JPY,21.24,20.64,20.94
2025/02/18,MUFG,CNY,JPY,21.17,20.57,20.87
2025/02/19,MUFG,CNY,JPY,21.19,20.59,20.89
2025/02/20,MUFG,CNY,JPY,21.06,20.46,20.76
2025/02/21,MUFG,CNY,JPY,20.98,20.38,20.68
2025/02/25,MUFG,CNY,JPY,21.,20.4,20.7
2025/02/26,MUFG,CNY,JPY,20.84,20.24,20.54
2025/02/27,MUFG,CNY,JPY,20.83,20.23,20.53
2025/02/28,MUFG,CNY,JPY,20.8,20.2,20.5
2025/03/03,MUFG,CNY,JPY,20.96,20.36,20.66
2025/03/04,MUFG,CNY,JPY,20.74,20.14,20.44
2025/03/05,MUFG,CNY,JPY,20.94,20.34,20.64
2025/03/06,MUFG,CNY,JPY,20.91,20.31,20.61
2025/03/07,MUFG,CNY,JPY,20.73,20.13,20.43
2025/03/10,MUFG,CNY,JPY,20.66,20.06,20.36
2025/03/11,MUFG,CNY,JPY,20.52,19.92,20.22
