date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2016/01/04,MUFG,KWD,JPY,405.29,389.29,397.29
2016/01/05,MUFG,KWD,JPY,401.5,385.5,393.5
2016/01/06,MUFG,KWD,JPY,400.74,384.74,392.74
2016/01/07,MUFG,KWD,JPY,398.52,382.52,390.52
2016/01/08,MUFG,KWD,JPY,396.34,380.34,388.34
2016/01/12,MUFG,KWD,JPY,396.65,380.65,388.65
2016/01/13,MUFG,KWD,JPY,397.14,381.14,389.14
2016/01/14,MUFG,KWD,JPY,395.67,379.67,387.67
2016/01/15,MUFG,KWD,JPY,397.71,381.71,389.71
2016/01/18,MUFG,KWD,JPY,393.92,377.92,385.92
2016/01/19,MUFG,KWD,JPY,395.51,379.51,387.51
2016/01/20,MUFG,KWD,JPY,394.17,378.17,386.17
2016/01/21,MUFG,KWD,JPY,393.99,377.99,385.99
2016/01/22,MUFG,KWD,JPY,395.27,379.27,387.27
2016/01/25,MUFG,KWD,JPY,398.1,382.1,390.1
2016/01/26,MUFG,KWD,JPY,395.85,379.85,387.85
2016/01/27,MUFG,KWD,JPY,398.01,382.01,390.01
2016/01/28,MUFG,KWD,JPY,399.62,383.62,391.62
2016/01/29,MUFG,KWD,JPY,406.91,390.91,398.91
