date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2025-01-06,MUFG,SAR,JPY,42.87,41.27,42.07
2025-01-07,MUFG,SAR,JPY,43.,41.4,42.2
2025-01-08,MUFG,SAR,JPY,42.97,41.37,42.17
2025-01-09,MUFG,SAR,JPY,43.07,41.47,42.27
2025-01-10,MUFG,SAR,JPY,43.,41.4,42.2
2025-01-14,MUFG,SAR,JPY,42.84,41.24,42.04
2025-01-15,MUFG,SAR,JPY,42.99,41.39,42.19
2025-01-16,MUFG,SAR,JPY,42.56,40.96,41.76
2025-01-17,MUFG,SAR,JPY,42.24,40.64,41.44
2025-01-20,MUFG,SAR,JPY,42.47,40.87,41.67
2025-01-21,MUFG,SAR,JPY,42.47,40.87,41.67
2025-01-22,MUFG,SAR,JPY,42.34,40.74,41.54
2025-01-23,MUFG,SAR,JPY,42.59,40.99,41.79
2025-01-24,MUFG,SAR,JPY,42.54,40.94,41.74
2025-01-27,MUFG,SAR,JPY,42.36,40.76,41.56
2025-01-28,MUFG,SAR,JPY,42.22,40.62,41.42
2025-01-29,MUFG,SAR,JPY,42.35,40.75,41.55
2025-01-30,MUFG,SAR,JPY,42.12,40.52,41.32
2025-01-31,MUFG,SAR,JPY,42.04,40.44,41.24
