date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2025-02-03,MUFG,KRW,JPY,10.8,10.4,10.6
2025-02-04,MUFG,KRW,JPY,10.86,10.46,10.66
2025-02-05,MUFG,KRW,JPY,10.82,10.42,10.62
2025-02-06,MUFG,KRW,JPY,10.77,10.37,10.57
2025-02-07,MUFG,KRW,JPY,10.68,10.28,10.48
2025-02-10,MUFG,KRW,JPY,10.66,10.26,10.46
2025-02-12,MUFG,KRW,JPY,10.75,10.35,10.55
2025-02-13,MUFG,KRW,JPY,10.85,10.45,10.65
2025-02-14,MUFG,KRW,JPY,10.8,10.4,10.6
2025-02-17,MUFG,KRW,JPY,10.74,10.34,10.54
2025-02-18,MUFG,KRW,JPY,10.72,10.32,10.52
2025-02-19,MUFG,KRW,JPY,10.77,10.37,10.57
2025-02-20,MUFG,KRW,JPY,10.71,10.31,10.51
2025-02-21,MUFG,KRW,JPY,10.66,10.26,10.46
2025-02-25,MUFG,KRW,JPY,10.7,10.3,10.5
2025-02-26,MUFG,KRW,JPY,10.63,10.23,10.43
2025-02-27,MUFG,KRW,JPY,10.61,10.21,10.41
2025-02-28,MUFG,KRW,JPY,10.52,10.12,10.32
