date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2025-01-06,MUFG,GBP,JPY,200.03,192.03,196.03
2025-01-07,MUFG,GBP,JPY,202.,194.,198.
2025-01-08,MUFG,GBP,JPY,201.3,193.3,197.3
2025-01-09,MUFG,GBP,JPY,199.72,191.72,195.72
2025-01-10,MUFG,GBP,JPY,198.58,190.58,194.58
2025-01-14,MUFG,GBP,JPY,196.39,188.39,192.39
2025-01-15,MUFG,GBP,JPY,196.94,188.94,192.94
2025-01-16,MUFG,GBP,JPY,195.49,187.49,191.49
2025-01-17,MUFG,GBP,JPY,193.96,185.96,189.96
2025-01-20,MUFG,GBP,JPY,194.17,186.17,190.17
2025-01-21,MUFG,GBP,JPY,195.63,187.63,191.63
2025-01-22,MUFG,GBP,JPY,196.14,188.14,192.14
2025-01-23,MUFG,GBP,JPY,196.81,188.81,192.81
2025-01-24,MUFG,GBP,JPY,197.18,189.18,193.18
2025-01-27,MUFG,GBP,JPY,197.92,189.92,193.92
2025-01-28,MUFG,GBP,JPY,197.26,189.26,193.26
2025-01-29,MUFG,GBP,JPY,197.65,189.65,193.65
2025-01-30,MUFG,GBP,JPY,196.71,188.71,192.71
2025-01-31,MUFG,GBP,JPY,195.69,187.69,191.69
2025-02-03,MUFG,GBP,JPY,195.03,187.03,191.03
2025-02-04,MUFG,GBP,JPY,197.07,189.07,193.07
2025-02-05,MUFG,GBP,JPY,196.29,188.29,192.29
2025-02-06,MUFG,GBP,JPY,194.78,186.78,190.78
2025-02-07,MUFG,GBP,JPY,192.01,184.01,188.01
2025-02-10,MUFG,GBP,JPY,192.35,184.35,188.35
2025-02-12,MUFG,GBP,JPY,194.75,186.75,190.75
2025-02-13,MUFG,GBP,JPY,196.4,188.4,192.4
2025-02-14,MUFG,GBP,JPY,195.94,187.94,191.94
2025-02-17,MUFG,GBP,JPY,195.19,187.19,191.19
2025-02-18,MUFG,GBP,JPY,195.3,187.3,191.3
2025-02-19,MUFG,GBP,JPY,195.99,187.99,191.99
2025-02-20,MUFG,GBP,JPY,194.3,186.3,190.3
2025-02-21,MUFG,GBP,JPY,193.74,185.74,189.74
2025-02-25,MUFG,GBP,JPY,193.59,185.59,189.59
2025-02-26,MUFG,GBP,JPY,192.83,184.83,188.83
2025-02-27,MUFG,GBP,JPY,193.07,185.07,189.07
2025-02-28,MUFG,GBP,JPY,192.66,184.66,188.66
2025-03-03,MUFG,GBP,JPY,193.78,185.78,189.78
2025-03-04,MUFG,GBP,JPY,193.52,185.52,189.52
2025-03-05,MUFG,GBP,JPY,195.79,187.79,191.79
2025-03-06,MUFG,GBP,JPY,196.52,188.52,192.52
2025-03-07,MUFG,GBP,JPY,194.79,186.79,190.79
2025-03-10,MUFG,GBP,JPY,194.69,186.69,190.69
