date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2024-01-04,MUFG,RUB,JPY,1.81,1.31,1.56
2024-01-05,MUFG,RUB,JPY,1.84,1.34,1.59
2024-01-09,MUFG,RUB,JPY,1.83,1.33,1.58
2024-01-10,MUFG,RUB,JPY,1.87,1.37,1.62
2024-01-11,MUFG,RUB,JPY,1.88,1.38,1.63
2024-01-12,MUFG,RUB,JPY,1.9,1.4,1.65
2024-01-15,MUFG,RUB,JPY,1.89,1.39,1.64
2024-01-16,MUFG,RUB,JPY,1.91,1.41,1.66
2024-01-17,MUFG,RUB,JPY,1.92,1.42,1.67
2024-01-18,MUFG,RUB,JPY,1.92,1.42,1.67
2024-01-19,MUFG,RUB,JPY,1.91,1.41,1.66
2024-01-22,MUFG,RUB,JPY,1.93,1.43,1.68
2024-01-23,MUFG,RUB,JPY,1.93,1.43,1.68
2024-01-24,MUFG,RUB,JPY,1.92,1.42,1.67
2024-01-25,MUFG,RUB,JPY,1.92,1.42,1.67
2024-01-26,MUFG,RUB,JPY,1.91,1.41,1.66
2024-01-29,MUFG,RUB,JPY,1.9,1.4,1.65
2024-01-30,MUFG,RUB,JPY,1.9,1.4,1.65
2024-01-31,MUFG,RUB,JPY,1.9,1.4,1.65
