date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2025-01-06,MUFG,CHF,JPY,174.21,172.41,173.31
2025-01-07,MUFG,CHF,JPY,175.63,173.83,174.73
2025-01-08,MUFG,CHF,JPY,174.72,172.92,173.82
2025-01-09,MUFG,CHF,JPY,174.75,172.95,173.85
2025-01-10,MUFG,CHF,JPY,174.27,172.47,173.37
2025-01-14,MUFG,CHF,JPY,172.77,170.97,171.87
2025-01-15,MUFG,CHF,JPY,174.12,172.32,173.22
2025-01-16,MUFG,CHF,JPY,172.31,170.51,171.41
2025-01-17,MUFG,CHF,JPY,171.41,169.61,170.51
2025-01-20,MUFG,CHF,JPY,171.59,169.79,170.69
2025-01-21,MUFG,CHF,JPY,172.7,170.9,171.8
2025-01-22,MUFG,CHF,JPY,172.63,170.83,171.73
2025-01-23,MUFG,CHF,JPY,173.58,171.78,172.68
2025-01-24,MUFG,CHF,JPY,173.13,171.33,172.23
2025-01-27,MUFG,CHF,JPY,172.59,170.79,171.69
2025-01-28,MUFG,CHF,JPY,172.43,170.63,171.53
2025-01-29,MUFG,CHF,JPY,173.07,171.27,172.17
2025-01-30,MUFG,CHF,JPY,171.66,169.86,170.76
2025-01-31,MUFG,CHF,JPY,170.49,168.69,169.59
2025-02-03,MUFG,CHF,JPY,170.8,169.,169.9
2025-02-04,MUFG,CHF,JPY,171.24,169.44,170.34
2025-02-05,MUFG,CHF,JPY,171.05,169.25,170.15
2025-02-06,MUFG,CHF,JPY,170.07,168.27,169.17
2025-02-07,MUFG,CHF,JPY,167.93,166.13,167.03
2025-02-10,MUFG,CHF,JPY,167.71,165.91,166.81
2025-02-12,MUFG,CHF,JPY,168.73,166.93,167.83
2025-02-13,MUFG,CHF,JPY,169.95,168.15,169.05
2025-02-14,MUFG,CHF,JPY,170.07,168.27,169.17
2025-02-17,MUFG,CHF,JPY,169.67,167.87,168.77
2025-02-18,MUFG,CHF,JPY,169.14,167.34,168.24
2025-02-19,MUFG,CHF,JPY,169.12,167.32,168.22
2025-02-20,MUFG,CHF,JPY,168.08,166.28,167.18
2025-02-21,MUFG,CHF,JPY,167.6,165.8,166.7
2025-02-25,MUFG,CHF,JPY,168.27,166.47,167.37
2025-02-26,MUFG,CHF,JPY,167.91,166.11,167.01
2025-02-27,MUFG,CHF,JPY,167.61,165.81,166.71
2025-02-28,MUFG,CHF,JPY,167.31,165.51,166.41
2025-03-03,MUFG,CHF,JPY,167.74,165.94,166.84
2025-03-04,MUFG,CHF,JPY,167.35,165.55,166.45
2025-03-05,MUFG,CHF,JPY,169.33,167.53,168.43
2025-03-06,MUFG,CHF,JPY,168.41,166.61,167.51
2025-03-07,MUFG,CHF,JPY,168.65,166.85,167.75
2025-03-10,MUFG,CHF,JPY,168.99,167.19,168.09
