date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,tts,ttb,ttm
2025-01-06,Russian Ruble,RUB,643,Yen,JPY,392,1.68,1.18,1.43
2025-01-07,Russian Ruble,RUB,643,Yen,JPY,392,1.72,1.22,1.47
2025-01-08,Russian Ruble,RUB,643,Yen,JPY,392,1.72,1.22,1.47
2025-01-09,Russian Ruble,RUB,643,Yen,JPY,392,1.77,1.27,1.52
2025-01-10,Russian Ruble,RUB,643,Yen,JPY,392,1.8,1.3,1.55
2025-01-14,Russian Ruble,RUB,643,Yen,JPY,392,1.78,1.28,1.53
2025-01-15,Russian Ruble,RUB,643,Yen,JPY,392,1.79,1.29,1.54
2025-01-16,Russian Ruble,RUB,643,Yen,JPY,392,1.78,1.28,1.53
2025-01-17,Russian Ruble,RUB,643,Yen,JPY,392,1.77,1.27,1.52
2025-01-20,Russian Ruble,RUB,643,Yen,JPY,392,1.77,1.27,1.52
2025-01-21,Russian Ruble,RUB,643,Yen,JPY,392,1.8,1.3,1.55
2025-01-22,Russian Ruble,RUB,643,Yen,JPY,392,1.81,1.31,1.56
2025-01-23,Russian Ruble,RUB,643,Yen,JPY,392,1.83,1.33,1.58
2025-01-24,Russian Ruble,RUB,643,Yen,JPY,392,1.82,1.32,1.57
2025-01-27,Russian Ruble,RUB,643,Yen,JPY,392,1.84,1.34,1.59
2025-01-28,Russian Ruble,RUB,643,Yen,JPY,392,1.84,1.34,1.59
2025-01-29,Russian Ruble,RUB,643,Yen,JPY,392,1.84,1.34,1.59
2025-01-30,Russian Ruble,RUB,643,Yen,JPY,392,1.81,1.31,1.56
2025-01-31,Russian Ruble,RUB,643,Yen,JPY,392,1.82,1.32,1.57
