date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2025-02-03,MUFG,KWD,JPY,512.73,496.73,504.73
2025-02-04,MUFG,KWD,JPY,511.89,495.89,503.89
2025-02-05,MUFG,KWD,JPY,508.39,492.39,500.39
2025-02-06,MUFG,KWD,JPY,503.65,487.65,495.65
2025-02-07,MUFG,KWD,JPY,499.23,483.23,491.23
2025-02-10,MUFG,KWD,JPY,500.9,484.9,492.9
2025-02-12,MUFG,KWD,JPY,505.11,489.11,497.11
2025-02-13,MUFG,KWD,JPY,509.17,493.17,501.17
2025-02-14,MUFG,KWD,JPY,504.3,488.3,496.3
2025-02-17,MUFG,KWD,JPY,501.21,485.21,493.21
2025-02-18,MUFG,KWD,JPY,500.44,484.44,492.44
2025-02-19,MUFG,KWD,JPY,501.64,485.64,493.64
2025-02-20,MUFG,KWD,JPY,498.52,482.52,490.52
2025-02-21,MUFG,KWD,JPY,493.14,477.14,485.14
2025-02-25,MUFG,KWD,JPY,494.02,478.02,486.02
2025-02-26,MUFG,KWD,JPY,492.14,476.14,484.14
2025-02-27,MUFG,KWD,JPY,492.86,476.86,484.86
2025-02-28,MUFG,KWD,JPY,493.78,477.78,485.78
